id_article,authors,title,year,volume,first_page,last_page,pubmed,medline
1,"Braenden, G.-I., Joernvall, H., Eklund, H. and Furugren, B.",Alcohol dehydrogenase.,1975,11,103,190,NULL,NULL
2,"Joernvall, H.",Differences between alcohol dehydrogenases. Structural properties and evolutionary aspects.,1977,72,443,452,320001,77115786
3,"Negelein, E. and Wulff, H.-J.","Diphosphopyridinproteid ackohol, acetaldehyd.",1937,293,351,389,NULL,NULL
4,"Sund, H. and Theorell, H.",Alcohol dehydrogenase.,1963,7,25,83,NULL,NULL
5,"Theorell, H.",Kinetics and equilibria in the liver alcohol dehydrogenase system.,1958,20,31,49,NULL,NULL
6,"Bosron, W.F. and Prairie, R.L.",Triphosphopyridine nucleotide-linked aldehyde reductase. I. Purification and properties of the enzyme from pig kidney cortex.,1972,247,4480,4485,4402936,72234368
7,"DeMoss, R.",Triphosphopyridine nucleotide-specific ethanol dehydrogenase from Leuconostoc mesenteroides.,1953,NULL,81,NULL,NULL,NULL
8,"Reeves, R.E., Montalvo, F.E. and Lushbaugh, T.S.",Nicotinamide-adenine dinucleotide phosphate-dependent alcohol dehydrogenase. Enzyme from Entamoeba histolytica and some enzyme inhibitors.,1971,2,55,64,NULL,NULL
9,"Tabakoff, B. and Erwin, V.G.",Purification and characterization of a reduced nicotinamide adenine dinucleotide phosphate-linked aldehyde reductase from brain.,1970,245,3263,3268,4393513,70250419
10,"Black, S. and Wright, N.G.",Homoserine dehydrogenase. ,1955,213,51,60,NULL,NULL
11,"Starnes, W.L., Munk, P., Maul, S.B., Cunningham, G.N., Cox, D.J. and Shive, W.","Threonine-sensitive aspartokinase-homoserine dehydrogenase complex, amino acid composition, molecular weight, and subunit composition of the complex. ",1972,11,677,687,4551091,72111297
12,"Veron, M., Falcoz-Kelly, F. and Cohen, G.N.",The threonine-sensitive homoserine dehydrogenase and aspartokinase activities of Escherichia coli K12. The two catalytic activities are carried by two independent regions of the polypeptide chain.,1972,28,520,527,4562990,73028842
13,"Strecker, H.J. and Harary, I.",Bacterial butylene glycol dehydrogenase and diacetyl reductase. ,1954,211,263,270,NULL,NULL
