id_com,comment,id_enz
1,"A zinc protein. Acts on primary or secondary alcohols or hemi-acetalss with very broad specificity; however the enzyme oxidizes methanol much more poorly than ethanol. The animal, but not the yeast, enzyme acts also on cyclic secondary alcohols.",1
2,"Acts on primary or secondary alcohols or hemi-acetalss with very broad specificity; however the enzyme oxidizes methanol much more poorly than ethanol. The animal, but not the yeast, enzyme acts also on cyclic secondary alcohols.",1
3,"Acts on primary or secondary alcohols or hemi-acetalss with verybroad specificity; however the enzyme oxidizes methanol much morepoorly than ethanol.The animal, but not the yeast, enzyme acts also on cyclic secondaryalcohols.",1
4,"A zinc protein. Some members of this group oxidize only primary alcohols; others act also on secondary alcohols. May be identical with EC 1.1.1.19 (L-glucuronate reductase), EC 1.1.1.33 (mevaldate reductase (NADPH)) and EC 1.1.1.55 (lactaldehyde reductase (NADPH)). Re-specific with respect to NADPH.",2
5,"Some members of this group oxidize only primary alcohols; others act also on secondary alcohols. May be identical with EC 1.1.1.19, EC 1.1.1.33 and EC 1.1.1.55. Re-specific with respect to NADPH.",2
6,"Some members of this group oxidize only primary alcohols; others actalso on secondary alcohols.May be identical with EC 1.1.1.19, EC 1.1.1.33 and EC 1.1.1.55.Re-specific with respect to NADPH.",2
7,"The yeast enzyme acts most rapidly with NAD(+); the Neurospora enzyme with NADP(+). The enzyme from Escherichia coli is a multi-functional protein, which also catalyzes the reaction of EC 2.7.2.4 (aspartate kinase).",3
8,"The enzyme from Saccharomyces cerevisiae acts most rapidly with NAD(+); the Neurospora enzyme with NADP(+). The enzyme from Escherichia coli is a multifunctional protein, which also catalyzes the reaction of EC 2.7.2.4.",3
9,"The enzyme from Saccharomyces cerevisiae acts most rapidly withNAD(+); the Neurospora enzyme with NADP(+).The enzyme from Escherichia coli is a multifunctional protein, whichalso catalyzes the reaction of EC 2.7.2.4.",3
10,Also converts diacetyl into acetoin with NADH as reductant.,4
11,Also converts diacetyl into acetoin with NADH as reductant.,4
12,"Also acts on propane-1,2-diol.",6
13,"Also acts on 1,2-propanediol.",6
14,"Also acts on 1,2-propanediol.",6
15,"Also acts on propane-1,2-diol phosphate and glycerone sulfate (but with a much lower affinity).",8
16,"Also acts on propane-1,2-diol phosphate and glycerone sulfate (butwith a much lower affinity).",8
17,Also acts as an L-erythrulose reductase.,9
18,Also acts as an L-erythrulose reductase.,9
19,"This enzyme is widely distributed and has been described in archaea, bacteria, yeast, plants and animals. It acts on a number of sugar alcohols, including (but not limited to) L-iditol, D-glucitol, D-xylitol, and D-galactitol. Enzymes from different organisms or tissues display different substrate specificity. The enzyme is specific to NAD(+) and can not use NADP(+).",14
20,"This enzyme is widely distributed and has been described in archaea,bacteria, yeast, plants and animals.It acts on a number of sugar alcohols, including (but not limited to)L-iditol, D-glucitol, D-xylitol, and D-galactitol.Enzymes from different organisms or tissues display differentsubstrate specificity.The enzyme is specific to NAD(+) and can not use NADP(+).",14
21,Also converts xylitol into L-xylulose and L-glucitol into L-fructose.,15
22,Also converts xylitol into L-xylulose and L-glucitol into L-fructose.,15
23,Also converts other alditols containing an L-threo-configuration adjacent to a primary alcohol group into the corresponding sugars.,16
24,Also converts other alditols containing an L-threo-configurationadjacent to a primary alcohol group into the corresponding sugars.,16
25,Also reduces D-galacturonate. May be identical with EC 1.1.1.2 (alcohol dehydrogenase (NADP(+))).,19
26,Also reduces D-galacturonate. May be identical with EC 1.1.1.2.,19
27,Also reduces D-galacturonate.May be identical with EC 1.1.1.2.,19
28,Has wide specificity.,21
29,Wide specificity. Formerly EC 1.1.1.139.,21
30,Wide specificity.Formerly EC 1.1.1.139.,21
31,Also acts on UDP-2-deoxyglucose.,22
32,Also acts on UDP-2-deoxyglucose.,22
33,Also oxidizes L-histidinal. The Neurospora enzyme also catalyzes the reactions of EC 3.5.4.19 (phosphoribosyl-AMP cyclohydrolase) and EC 3.6.1.31 (phosphoribosyl-ATP diphosphatase).,23
34,Also oxidizes L-histidinal. The Neurospora enzyme also catalyzes the reactions of EC 3.5.4.19 and EC 3.6.1.31.,23
35,Also oxidizes L-histidinal.The Neurospora enzyme also catalyzes the reactions of EC 3.5.4.19 andEC 3.6.1.31.,23
36,"The enzyme is specific for quinate as substrate; phenylpyruvate, phenylalanine, cinnamate and shikimate will not act as substrates. NAD(+) cannot be replaced by NADP(+).",24
37,"The enzyme is specific for quinate as substrate; phenylpyruvate,phenylalanine, cinnamate and shikimate will not act as substrates.NAD(+) cannot be replaced by NADP(+).",24
38,"NAD(+) cannot replace NADP(+) (3). In higher organisms, this enzyme forms part of a multienzyme complex with EC 4.2.1.10, 3-dehydroquinate dehydratase (4).",25
39,"NAD(+) cannot replace NADP(+). In higher organisms, this enzyme forms part of a multienzyme complex with EC 4.2.1.10.",25
40,"NAD(+) cannot replace NADP(+).In higher organisms, this enzyme forms part of a multienzyme complexwith EC 4.2.1.10.",25
41,Reduces glyoxylate to glycolate or hydroxypyruvate to D-glycerate.,26
42,Reduces glyoxylate to glycolate or hydroxypyruvate to D-glycerate.,26
43,"Also oxidizes other (S)-2-hydroxymonocarboxylic acids. NADP(+) also acts, more slowly, with the animal, but not the bacterial, enzyme.",27
44,"Also oxidizes other (S)-2-hydroxymonocarboxylic acids. NADP(+) acts, more slowly, with the animal, but not the bacterial, enzyme.",27
45,"Also oxidizes other (S)-2-hydroxymonocarboxylic acids.NADP(+) acts, more slowly, with the animal, but not the bacterial,enzyme.",27
46,Also oxidizes other 3-hydroxymonocarboxylic acids.,30
47,Also oxidizes other 3-hydroxymonocarboxylic acids.,30
48,May be identical with EC 1.1.1.2 (alcohol dehydrogenase (NADP(+))).,33
49,May be identical with EC 1.1.1.2.,33
50,May be identical with EC 1.1.1.2.,33
51,The enzyme is inactivated by EC 2.7.11.31 ((hydroxymethylglutaryl-CoA reductase (NADPH)) kinase) and reactivated by EC 3.1.3.47 ((hydroxymethylglutaryl-CoA reductase (NADPH))-phosphatase).,34
52,The enzyme is inactivated by EC 2.7.11.31 and reactivated by EC 3.1.3.47.,34
53,The enzyme is inactivated by EC 2.7.11.31 and reactivated byEC 3.1.3.47.,34
54,"Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3-hydroxyacyl-hydrolipoate. Some enzymes act, more slowly, with NADP(+). Broad specificity to acyl chain-length (cf. EC 1.1.1.211 (long-chain-3-hydroxyacyl-CoA dehydrogenase)).",35
55,"Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3-hydroxyacylhydrolipoate. Some enzymes act, more slowly, with NADP(+). Broad specificity to acyl chain-length (cf. EC 1.1.1.211).",35
56,"Also oxidizes S-3-hydroxyacyl-N-acylthioethanolamine and S-3-hydroxyacylhydrolipoate.Some enzymes act, more slowly, with NADP(+).Broad specificity to acyl chain-length (cf. EC 1.1.1.211).",35
57,Also oxidizes some other 2-hydroxydicarboxylic acids.,37
58,Also oxidizes some other 2-hydroxydicarboxylic acids.,37
59,"Unlikef EC 1.1.1.39, malate dehydrogenase (decarboxylating), this enzyme can also decarboxylate oxaloacetate. cf. EC 1.1.1.40, malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).",38
60,"Unlike EC 1.1.1.39, this enzyme can also decarboxylate oxaloacetate, cf. EC 1.1.1.40.",38
61,"Unlike EC 1.1.1.39, this enzyme can also decarboxylate oxaloacetate,cf. EC 1.1.1.40.",38
62,Does not decarboxylate added oxaloacetate.,39
63,Does not decarboxylate added oxaloacetate.,39
64,"The enzyme catalyzes the oxidative decarboxylation of (S)-malate in the presence of NADP(+) and divalent metal ions, and decarboxylation of oxaloacetate. cf. EC 1.1.1.38, malate dehydrogenase (oxaloacetate-decarboxylating), and EC 1.1.1.39, malate dehydrogenase (decarboxylating).",40
65,"The enzyme catalyzes the oxidative decarboxylation of (S)-malate in the presence of NADP(+) and divalent metal ions, and decarboxylation of oxaloacetate, cf. EC 1.1.1.38 and EC 1.1.1.39.",40
66,"The enzyme catalyzes the oxidative decarboxylation of (S)-malate inthe presence of NADP(+) and divalent metal ions, and decarboxylationof oxaloacetate, cf. EC 1.1.1.38 and EC 1.1.1.39.",40
67,"Requires Mn(2+) or Mg(2+) for activity. Unlike EC 1.1.1.42, isocitrate dehydrogenase (NADP(+)), oxalosuccinate cannot be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD(+)-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP(+)-linked enzyme that is found in both mitochondria and cytoplasm (7). The enzyme from some species can also use NADP(+) but much more slowly (9).",41
68,"Unlike EC 1.1.1.42, oxalosuccinate cannot be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD(+)-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP(+)-linked enzyme that is found in both mitochondria and cytoplasm. The enzyme from some species can also use NADP(+) but much more slowly.",41
69,"Unlike EC 1.1.1.42, oxalosuccinate cannot be used as a substrate.In eukaryotes, isocitrate dehydrogenase exists in two forms: anNAD(+)-linked enzyme found only in mitochondria and displayingallosteric properties, and a non-allosteric, NADP(+)-linked enzymethat is found in both mitochondria and cytoplasm.The enzyme from some species can also use NADP(+) but much moreslowly.",41
70,"Requires Mn(2+) or Mg(2+) for activity. Unlike EC 1.1.1.41, isocitrate dehydrogenase (NAD(+)), oxalosuccinate can be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD(+)-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP(+)-linked enzyme that is found in both mitochondria and cytoplasm (6). The enzyme from some species can also use NAD(+) but much more slowly (6,7).",42
71,"Unlike EC 1.1.1.41, oxalosuccinate can be used as a substrate. In eukaryotes, isocitrate dehydrogenase exists in two forms: an NAD(+)-linked enzyme found only in mitochondria and displaying allosteric properties, and a non-allosteric, NADP(+)-linked enzyme that is found in both mitochondria and cytoplasm. The enzyme from some species can also use NAD(+) but much more slowly.",42
72,"Unlike EC 1.1.1.41, oxalosuccinate can be used as a substrate.In eukaryotes, isocitrate dehydrogenase exists in two forms: anNAD(+)-linked enzyme found only in mitochondria and displayingallosteric properties, and a non-allosteric, NADP(+)-linked enzymethat is found in both mitochondria and cytoplasm.The enzyme from some species can also use NAD(+) but much moreslowly.",42
73,"The enzyme participates in the oxidative branch of the pentose phosphate pathway, whose main purpose is to produce NADPH and pentose for biosynthetic reactions. Highly specific for NADP(+). cf. EC 1.1.1.343, phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating).",44
74,"The enzyme participates in the oxidative branch of the pentose phosphate pathway, whose main purpose is to produce NADPH and pentose for biosynthetic reactions. Highly specific for NADP(+). Cf. EC 1.1.1.343.",44
75,"The enzyme participates in the oxidative branch of the pentosephosphate pathway, whose main purpose is to produce NADPH and pentosefor biosynthetic reactions.Highly specific for NADP(+).Cf. EC 1.1.1.343.",44
76,Also oxidizes other L-3-hydroxyacids.,45
77,Also oxidizes other L-3-hydroxyacids.,45
