id_article,editorial_place,city,edition,editor
1,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
4,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
19,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
79,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
99,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
114,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
123,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
557,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
777,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
781,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
807,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1033,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1036,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1040,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1058,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1062,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1068,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1073,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1076,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1553,Plenum Press,New York,2nd ed.,"Martonosi, A. (Ed.)"
1600,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1621,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1690,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1693,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
1695,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
1700,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
1740,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1746,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K.  (Eds.)"
1747,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
1796,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2002,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2047,Wiley,New York,2nd ed.,"Martonosi, A.N. (Ed.)"
2072,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2078,Wiley,New York,2nd ed.,"Martonosi, A.N.  (Ed.)"
2085,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2089,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2093,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2200,Academic Press,New York,th ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2209,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2372,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K. (Eds.)"
2379,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K.  (Eds.)"
2381,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
2446,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2449,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2610,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2614,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2623,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2628,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
2633,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
3551,Academic Press,New York,1st ed.,"Sumner, J.B. and Myrbaeck, K. (Eds.)"
3792,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4704,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4713,NULL,NULL,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4715,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
4716,Academic Press,New York,3rd ed.,"Boyer, P.D.  (Ed.)"
4851,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
4887,Academic Press,New York,3rd ed.,"Boyer, P.D. (Ed.)"
5107,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
5114,ASM Press,Washington DC,2nd ed.,"Neidhardt, F.C. (Ed.)"
5359,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5362,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5374,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
5996,Academic Press,New York,2nd ed.,"Boyer, P.D., Lardy, H. and Myrbaeck, K. (Eds.)"
