id_enzyme,ec1,ec2,ec3,ec4,"accepted_name,",systematic_name,cofactors,activity,history
1,1,1,1,1,Alcohol dehydrogenase,Alcohol:NAD(+) oxidoreductase,Zinc or iron.,(1) An alcohol + NAD(+) = an aldehyde or ketone + NADH.(2) A secondary alcohol + NAD(+) = a ketone + NADH.,EC 1.1.1.1 created 1961
2,1,1,1,2,Alcohol dehydrogenase (NADP(+)),Alcohol:NADP(+) oxidoreductase,Zinc.,An alcohol + NADP(+) = an aldehyde + NADPH.,EC 1.1.1.2 created 1961
3,1,1,1,3,Homoserine dehydrogenase,L-homoserine:NAD(P)(+) oxidoreductase,NULL,L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.,"EC 1.1.1.3 created 1961, modified 1976"
4,1,1,1,4,"(R,R)-butanediol dehydrogenase","(R,R)-butane-2,3-diol:NAD(+) oxidoreductase",NULL,"(R,R)-butane-2,3-diol + NAD(+) = (R)-acetoin + NADH.","EC 1.1.1.4 created 1961 (EC 1.1.1.74 created 1972, incorporated 1976)"
5,1,1,1,5,NULL,NULL,NULL,NULL,"EC 1.1.1.5 created 1961, modified 1976, deleted 2010"
6,1,1,1,6,Glycerol dehydrogenase,Glycerol:NAD(+) 2-oxidoreductase,NULL,Glycerol + NAD(+) = glycerone + NADH.,EC 1.1.1.6 created 1961
7,1,1,1,7,Propanediol-phosphate dehydrogenase,"Propane-1,2-diol-1-phosphate:NAD(+) oxidoreductase",NULL,"Propane-1,2-diol 1-phosphate + NAD(+) = hydroxyacetone phosphate + NADH.",EC 1.1.1.7 created 1961
8,1,1,1,8,Glycerol-3-phosphate dehydrogenase (NAD(+)),sn-glycerol-3-phosphate:NAD(+) 2-oxidoreductase,NULL,sn-glycerol 3-phosphate + NAD(+) = glycerone phosphate + NADH.,"EC 1.1.1.8 created 1961, modified 2005"
9,1,1,1,9,D-xylulose reductase,Xylitol:NAD(+) 2-oxidoreductase (D-xylulose-forming),NULL,Xylitol + NAD(+) = D-xylulose + NADH.,EC 1.1.1.9 created 1961
10,1,1,1,10,L-xylulose reductase,Xylitol:NADP(+) 4-oxidoreductase (L-xylulose-forming),NULL,Xylitol + NADP(+) = L-xylulose + NADPH.,EC 1.1.1.10 created 1961
11,1,1,1,11,D-arabinitol 4-dehydrogenase,D-arabinitol:NAD(+) 4-oxidoreductase,NULL,D-arabinitol + NAD(+) = D-xylulose + NADH.,EC 1.1.1.11 created 1961
12,1,1,1,12,L-arabinitol 4-dehydrogenase,L-arabinitol:NAD(+) 4-oxidoreductase (L-xylulose-forming),NULL,L-arabinitol + NAD(+) = L-xylulose + NADH.,EC 1.1.1.12 created 1961
13,1,1,1,13,L-arabinitol 2-dehydrogenase,L-arabinitol:NAD(+) 2-oxidoreductase (L-ribulose-forming),NULL,L-arabinitol + NAD(+) = L-ribulose + NADH.,EC 1.1.1.13 created 1961
14,1,1,1,14,L-iditol 2-dehydrogenase,L-iditol:NAD(+) 2-oxidoreductase,NULL,L-iditol + NAD(+) = L-sorbose + NADH.,"EC 1.1.1.14 created 1961, modified 2011"
15,1,1,1,15,D-iditol 2-dehydrogenase,D-iditol:NAD(+) 2-oxidoreductase,NULL,D-iditol + NAD(+) = D-sorbose + NADH.,EC 1.1.1.15 created 1961
16,1,1,1,16,Galactitol 2-dehydrogenase,Galactitol:NAD(+) 2-oxidoreductase,NULL,Galactitol + NAD(+) = D-tagatose + NADH.,EC 1.1.1.16 created 1961
