id_prosite,num_prosite,id_enzyme
1,PDOC00058,1
2,PDOC00059,1
3,PDOC00060,1
4,PDOC00061,2
5,PDOC00800,3
6,PDOC00059,6
7,PDOC00740,8
8,PDOC00058,9
9,PDOC00058,14
10,PDOC00751,17
11,PDOC00061,21
12,PDOC00534,23
13,PDOC00063,26
14,PDOC00062,27
15,PDOC00063,28
16,PDOC00063,29
17,PDOC00060,30
18,PDOC00697,31
19,PDOC00064,34
20,PDOC00060,35
21,PDOC00065,35
22,PDOC00060,36
23,PDOC00066,37
24,PDOC00294,38
25,PDOC00294,39
26,PDOC00294,40
27,PDOC00389,41
28,PDOC00389,42
29,PDOC00390,44
30,PDOC00060,47
31,PDOC00067,47
32,PDOC00067,49
33,PDOC00061,50
34,PDOC00060,51
35,PDOC00060,53
36,PDOC00060,56
37,PDOC00751,57
38,PDOC00059,61
39,PDOC00060,62
40,PDOC00751,67
41,PDOC00060,69
42,PDOC00061,72
43,PDOC00058,73
44,PDOC00060,76
45,PDOC00059,77
46,PDOC00061,78
47,PDOC00066,82
48,PDOC00389,85
49,PDOC00389,87
50,PDOC00064,88
51,PDOC00058,90
52,PDOC00740,94
53,PDOC00063,95
54,PDOC00060,100
55,PDOC00060,101
56,PDOC00058,103
57,PDOC00060,105
58,PDOC00060,125
59,PDOC00060,138
60,PDOC00060,140
61,PDOC00060,141
62,PDOC00060,146
63,PDOC00061,149
64,PDOC00065,157
65,PDOC00060,159
66,PDOC00060,162
67,PDOC00061,175
68,PDOC00060,178
69,PDOC00060,184
70,PDOC00061,188
71,PDOC00060,189
72,PDOC00058,195
73,PDOC00060,197
74,PDOC00061,200
75,PDOC00059,202
76,PDOC00391,205
77,PDOC00060,206
78,PDOC00061,218
79,PDOC00061,225
80,PDOC00060,233
81,PDOC00060,236
82,PDOC00059,244
83,PDOC00060,250
84,PDOC00058,251
85,PDOC00060,252
86,PDOC00058,264
87,PDOC00061,274
88,PDOC00060,276
89,PDOC00058,284
90,PDOC00389,286
91,PDOC00058,287
92,PDOC00060,289
93,PDOC00063,290
94,PDOC00697,291
95,PDOC00060,294
96,PDOC00060,295
97,PDOC00060,300
98,PDOC00058,301
99,PDOC00058,303
100,PDOC00060,304
101,PDOC00058,306
102,PDOC00063,310
103,PDOC00060,311
104,PDOC00170,388
105,PDOC00482,388
106,PDOC00543,397
107,PDOC00543,399
108,PDOC00674,401
109,PDOC00543,405
110,PDOC00543,406
111,PDOC00482,408
112,PDOC00543,413
113,PDOC00674,430
114,PDOC00674,434
115,PDOC00375,442
116,PDOC00753,443
117,PDOC00392,446
118,PDOC00543,449
