id_syn,synonyme,id_enzyme
1,Aldehyde reductase,1
2,Aldehyde reductase (NADPH),2
3,"(R)-2,3-butanediol dehydrogenase",4
4,(R)-diacetyl reductase,4
5,1-amino-2-propanol dehydrogenase,4
6,1-amino-2-propanol oxidoreductase,4
7,"2,3-butanediol dehydrogenase",4
8,Aminopropanol oxidoreductase,4
9,Butylene glycol dehydrogenase,4
10,Butyleneglycol dehydrogenase,4
11,D-(-)-butanediol dehydrogenase,4
12,D-1-amino-2-propanol dehydrogenase,4
13,D-1-amino-2-propanol:NAD(2) oxidoreductase,4
14,D-aminopropanol dehydrogenase,4
15,D-butanediol dehydrogenase,4
16,Diacetyl (acetoin) reductase,4
17,NAD-linked glycerol dehydrogenase,6
18,Alpha-glycerol phosphate dehydrogenase (NAD),8
19,Alpha-glycerophosphate dehydrogenase (NAD),8
20,Glycerol 1-phosphate dehydrogenase,8
21,Glycerol phosphate dehydrogenase (NAD),8
22,Glycerol-3-phosphate dehydrogenase (NAD),8
23,Glycerophosphate dehydrogenase (NAD),8
24,Hydroglycerophosphate dehydrogenase,8
25,L-alpha-glycerol phosphate dehydrogenase,8
26,L-alpha-glycerophosphate dehydrogenase,8
27,L-glycerol phosphate dehydrogenase,8
28,L-glycerol-3-phosphate dehydrogenase,8
29,L-glycerophosphate dehydrogenase,8
30,NAD-alpha-glycerophosphate dehydrogenase,8
31,NAD-dependent glycerol phosphate dehydrogenase,8
32,NAD-dependent glycerol-3-phosphate dehydrogenase,8
33,NAD-L-glycerol-3-phosphate dehydrogenase,8
34,NAD-linked glycerol 3-phosphate dehydrogenase,8
35,NADH-dihydroxyacetone phosphate reductase,8
36,Xylitol dehydrogenase,9
37,L-arabinitol 2-dehydrogenase (ribulose forming),13
38,Glucitol dehydrogenase,14
39,Polyol dehydrogenase,14
40,Sorbitol dehydrogenase,14
41,Myo-inositol 2-dehydrogenase,18
42,Aldehyde reductase,19
43,Aldehyde reductase II,19
44,D-glucuronate dehydrogenase,19
45,D-glucuronate reductase,19
46,Glucuronate dehydrogenase,19
47,L-glucuronate reductase,19
48,NADP-L-gulonate dehydrogenase,19
49,TPN-L-gulonate dehydrogenase,19
50,Aldose reductase,21
51,Polyol dehydrogenase (NADP(+)),21
52,Quinate 5-dehydrogenase,24
53,Quinate:NAD oxidoreductase,24
54,Quinate:NAD(+) 5-oxidoreductase,24
55,Quinic dehydrogenase,24
56,5-dehydroshikimate reductase,25
57,5-dehydroshikimic reductase,25
58,Dehydroshikimic reductase,25
59,DHS reductase,25
60,Shikimate 5-dehydrogenase,25
61,Shikimate oxidoreductase,25
62,Shikimate:NADP(+) 5-oxidoreductase,25
63,Shikimate:NADP(+) oxidoreductase,25
64,Glycolate reductase,26
65,Glyoxylic acid reductase,26
66,NADH-dependent glyoxylate reductase,26
67,L-lactic acid dehydrogenase,27
68,L-lactic dehydrogenase,27
69,D-lactic acid dehydrogenase,28
70,D-lactic dehydrogenase,28
71,Hydroxypyruvate dehydrogenase,29
72,Hydroxypyruvate reductase,29
73,D-beta-hydroxybutyrate dehydrogenase,30
74,3-hydroxy-3-methylglutaryl-coenzyme A reductase,34
75,HMG-CoA reductase,34
76,Beta-hydroxyacyl dehydrogenase,35
77,Beta-keto-reductase,35
78,Malic dehydrogenase,37
79,Malic enzyme,38
80,NAD-malic enzyme,38
81,Pyruvic-malic carboxylase,38
82,Malic enzyme,39
83,NAD-malic enzyme,39
84,Pyruvic-malic carboxylase,39
85,Malic enzyme,40
86,NADP-malic enzyme,40
87,Pyruvic-malic carboxylase,40
88,Beta-ketoglutaric-isocitric carboxylase,41
89,IDH,41
90,Isocitrate dehydrogenase (NAD),41
91,Isocitric acid dehydrogenase,41
92,Isocitric dehydrogenase,41
93,NAD dependent isocitrate dehydrogenase,41
94,NAD isocitrate dehydrogenase,41
95,NAD isocitric dehydrogenase,41
96,NAD-linked isocitrate dehydrogenase,41
97,NAD-specific isocitrate dehydrogenase,41
98,Nicotinamide adenine dinucleotide isocitrate dehydrogenase,41
99,Dual-cofactor-specific isocitrate dehydrogenase,42
100,IDH,42
101,IDP,42
102,Isocitrate (NADP) dehydrogenase,42
103,Isocitrate (nicotinamide adenine dinucleotide phosphate) dehydrogenase,42
104,Isocitrate dehydrogenase (NADP),42
105,Isocitrate dehydrogenase (NADP-dependent),42
106,NADP isocitric dehydrogenase,42
107,NADP(+)-ICDH,42
108,NADP(+)-IDH,42
109,NADP(+)-linked isocitrate dehydrogenase,42
110,NADP-dependent isocitrate dehydrogenase,42
111,NADP-dependent isocitric dehydrogenase,42
112,NADP-linked isocitrate dehydrogenase,42
113,NADP-specific isocitrate dehydrogenase,42
114,Oxalosuccinate decarboxylase,42
115,Oxalsuccinic decarboxylase,42
116,Triphosphopyridine nucleotide-linked isocitrate dehydrogenase-oxalosuccinate carboxylase,42
117,6-phosphogluconate 2-dehydrogenase,43
118,6-phosphogluconic dehydrogenase,43
119,6-phosphogluconic carboxylase,44
120,6-phosphogluconic dehydrogenase,44
121,6PGD,44
122,Phosphogluconic acid dehydrogenase,44
123,L-3-aldonate dehydrogenase,45
124,G6PD,49
125,G6PDH,49
126,Glucose-6-phosphate 1-dehydrogenase,49
127,Glucose-6-phosphate dehydrogenase,49
128,GPD,49
129,3-alpha-HSD,50
130,3-alpha-hydroxysteroid 3-dehydrogenase (B-specific),50
131,3-alpha-hydroxysteroid dehydrogenase (B-specific),50
132,Hydroxyprostaglandin dehydrogenase,50
133,(R)-20-hydroxysteroid dehydrogenase,53
134,Cortisone reductase,53
135,D-mannonate dehydrogenase,57
136,D-mannonate oxidoreductase,57
137,Mannonic dehydrogenase,57
138,Altronate dehydrogenase,58
139,Altronate oxidoreductase,58
140,Altronic oxidoreductase,58
141,Tagaturonate dehydrogenase,58
142,Tartronate semialdehyde reductase,60
143,17-beta-estradiol dehydrogenase,62
144,17-beta-HSD,62
145,17-beta-hydroxysteroid dehydrogenase,62
146,20-alpha-hydroxysteroid dehydrogenase,62
147,Estrogen 17-oxidoreductase,62
148,17-ketoreductase,64
149,PL reductase,65
150,Pyridoxal reductase,65
151,Pyridoxin dehydrogenase,65
